罗纳德·哈里·科斯,胡庆龙,人民邮电出版社,2009,19.8,F
ASP.NET应用与开发技术教程,蒋忠仁,人民邮电出版社,2009,28,T
图解PowerPCB轻松入门与提高,云峻岭,人民邮电出版社,2009,39,T
AutoCAD中文版典型建筑设计图册,刘钰婷,人民邮电出版社,2009,28,T
ZBrush经典教程,凯勒,人民邮电出版社,2009,55,T
新编PhotoshopCS4从入门到精通,龙马工作室,人民邮电出版社,2009,59,T
PhotoshopCS4平面设计实例精讲,罗松柏,人民邮电出版社,2009,66,T
Maya2009完全学习手册,彭超,人民邮电出版社,2009,89,T
Maya/mentalray/VRay印象,陈路石,人民邮电出版社,2009,88,T
iPhone开发秘籍,萨丹,人民邮电出版社,2009,65,T
瞬间之美,霍克曼,人民邮电出版社,2009,45,T
ADOBEACROBAT9PRO标准培训教材,陶珍明,人民邮电出版社,2009,36,T
UMTSLTE/SAE系统与关键技术详解,周兴围,人民邮电出版社,2009,58,T
SQLServer2000管理与应用开发教程,王晶,人民邮电出版社,2009,38,T
零售企业精益化管理工具箱,沈方楠,人民邮电出版社,2009,56,F
网上开店七日通,赵永秀,人民邮电出版社,2009,29,F
新编PhotoshopCS4中文版从入门到精通,龙马工作室,人民邮电出版社,2009,59,T
LINQ技术详解,拉特兹,人民邮电出版社,2009,79,T
实用射频技术手册,希克曼,人民邮电出版社,2009,45,O
火星人,火星时代,人民邮电出版社,2009,56,T
21天学通C++,利伯蒂,人民邮电出版社,2009,55,T
员工关系管理实务手册,李艳,人民邮电出版社,2009,23,F
岗位绩效目标与考核实务手册,孙宗虎,人民邮电出版社,2009,30,F
数码暗房,孙迎新,人民邮电出版社,2009,55,T
会声会影X2实战从入门到精通,覃明揆,人民邮电出版社,2009,49,T
FPGA设计实战,威尔逊,人民邮电出版社,2009,39,T
AdobeAIR权威指南,塔珀,人民邮电出版社,2009,49,T
品牌杠杆,王海忠,人民邮电出版社,2009,35,F
纯数学教程,哈代,人民邮电出版社,2009,79,O
AdobeAfterEffectsCS4经典教程,许伟民,人民邮电出版社,2009,45,T
天线手册,匡磊,人民邮电出版社,2009,150,T
应急通信技术总体框架讨论,孙玉,人民邮电出版社,2009,68,T
新进与新任员工培训方案设计,权锡哲,人民邮电出版社,2009,22,F
绿色电子,希纳,人民邮电出版社,2009,48,T
面向对象分析与设计,博什,人民邮电出版社,2009,79,T
精通OraclePL/SQL,麦克唐纳,人民邮电出版社,2009,69,T
3G知识问答,廖青,人民邮电出版社,2009,18,T
生产现场精细化管理全案,姚小风,人民邮电出版社,2009,65,F
模具设计技能培训,吴柳机,人民邮电出版社,2009,59,T
管理大师如是说,唐华山,人民邮电出版社,2009,38,F
LTE/SAE移动通信网络技术,黄韬,人民邮电出版社,2009,39,T
LINQ实战,马尔格里,人民邮电出版社,2009,65,T
成本费用控制精细化管理全案,王德敏,人民邮电出版社,2009,45,F
